country,region,timezone,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10
Afghanistan,Asia,Asia/Kabul,0.166376285,2.754893766,-0.498985335,-0.415852747,-0.235189596,-0.304323907
Albania,Europe,Europe/Tirane,-0.05692757,1.962410923,-0.372180386,-0.318196323,0.154216324,-0.041057141
Algeria,Africa,Africa/Algiers,0.166376285,-0.734488055,2.771525646,0.435153231,-0.263963432,-0.349861942
Andorra,Europe,Europe/Andorra,-0.311594326,0.844334354,-0.551820731,-0.429803665,-0.377140523,-0.450899458
Angola,Africa,Africa/Luanda,1.722707973,3.280144023,2.227321072,1.432643845,2.291153245,2.43080433
Antigua and Barbuda,America,America/Antigua,-0.301140026,-0.734488055,-0.535970112,-0.408877288,-0.371385755,-0.435245758
Argentina,America,America/Argentina/Buenos_Aires,-0.22785538,-0.666911998,0.002950922,-0.353073618,-0.34644843,-0.412476741
Armenia,Asia,Asia/Yerevan,-0.288908494,2.490732818,-0.509552414,-0.367024535,-0.290819013,-0.374054024
Australia,Australia,Australia/Sydney,-0.297690106,0.107141011,-0.377463925,-0.408877288,-0.310001571,-0.379746278
Austria,Europe,Europe/Vienna,-0.175583879,-0.322888439,0.975122199,0.463055066,-0.135440296,-0.25024749
Azerbaijan,Asia,Asia/Baku,-0.269777125,1.876405033,-0.435582861,-0.380975453,-0.279309479,-0.365515642
Bahamas,America,America/Nassau,-0.280231425,-0.344389911,-0.509552414,-0.360049076,-0.359876221,-0.432399631
Bahrain,Asia,Asia/Bahrain,-0.133662134,6.576012591,-0.261226055,0.232864925,0.942619443,1.713580276
Bangladesh,Asia,Asia/Dhaka,0.354867319,0.162430512,2.554900524,0.330521349,1.239949086,0.898164834
Barbados,America,America/Barbados,-0.299467337,-0.700700027,-0.520119493,-0.394926371,-0.356039709,-0.412476741
Belarus,Europe,Europe/Minsk,-0.290685725,1.65524703,-0.435582861,-0.088006182,-0.34644843,-0.429553504
Belgium,Europe,Europe/Brussels,-0.252318443,0.008848565,0.95927158,0.204963089,-0.068301345,-0.183363501
Belize,America,America/Belize,-0.341284539,-1.041651947,-0.541253651,-0.436779124,-0.33302064,-0.421015122
Benin,Africa,Africa/Porto-Novo,0.075737501,-0.611622498,-0.345762688,-0.3391227,-0.129685529,-0.133556275
Bhutan,Asia,Asia/Thimphu,-0.091844933,0.205433457,-0.55710427,-0.429803665,-0.246699131,-0.354131133
Bolivia,America,America/La_Paz,-0.34828892,0.030350038,-0.509552414,-0.408877288,-0.325347617,-0.287247144
Bosnia and Herzegovina,Europe,Europe/Sarajevo,-0.262772743,1.391086083,-0.514835954,0.044527536,-0.225598317,-0.33705437
Botswana,Africa,Africa/Gaborone,-0.029014588,1.391086083,-0.488418256,-0.332147241,-0.052955298,-0.179094311
Brazil,America,America/Manaus,-0.179033798,-0.645410526,-0.535970112,-0.429803665,-0.340693663,-0.40820755
Brunei Darussalam,Asia,Asia/Brunei,-0.213951161,-0.365891384,-0.498985335,-0.401901829,-0.34644843,-0.422438186
Bulgaria,Europe,Europe/Sofia,-0.259322824,1.876405033,-0.493701796,-0.360049076,-0.210252271,-0.30147778
Burkina Faso,Africa,Africa/Ouagadougou,0.340858557,-0.685341832,-0.31934499,-0.290294488,-0.033772741,0.041480547
Burundi,Africa,Africa/Bujumbura,-0.158125197,0.733755352,-0.514835954,-0.394926371,-0.248617386,-0.233170727
Madagascar,Africa,Indian/Antananarivo,-0.299467337,0.71225388,-0.55710427,-0.429803665,-0.363712732,-0.413899804
Cape Verde,Africa,Atlantic/Cape_Verde,-0.313371557,0.359015403,-0.530686572,-0.422828206,0.16956237,1.798964092
Cambodia,Asia,Asia/Phnom_Penh,-0.186038179,-0.507186774,-0.414448702,-0.325171782,-0.348366686,-0.386861596
Cameroon,Africa,Africa/Douala,0.243215392,-0.964860974,-0.414448702,-0.387950912,0.00651063,-0.035364887
Canada,America,America/Toronto,-0.295912875,-0.700700027,-0.430299321,-0.415852747,-0.315756338,-0.403938359
Central African Republic,Africa,Africa/Bangui,-0.238309681,-1.213663727,-0.55710427,-0.443754582,-0.377140523,-0.450899458
Chad,Africa,Africa/Douala,0.047824519,-0.623909053,-0.514835954,-0.387950912,-0.204497504,-0.273016508
Chile,America,America/Santiago,5.240161858,-1.244380117,2.480930971,0.686269749,9.131653297,8.031982655
China,Asia,Asia/Shanghai,-0.07083179,3.062057659,2.443946194,4.87852051,0.115851209,0.025826848
Bulgaria,Europe,Europe/Sofia,-0.299467337,1.744324559,-0.535970112,-0.408877288,-0.302328548,-0.386861596
Comoros,Africa,Indian/Comoro,-0.273227044,0.819761242,-0.551820731,-0.408877288,-0.254372154,-0.304323907
Congo,Africa,Africa/Brazzaville,0.054724357,-0.058727491,-0.456717019,-0.373999994,-0.237107852,-0.144940784
Costa Rica,America,America/Costa_Rica,0.564266955,-1.244380117,0.135039411,-0.108932558,0.463055502,0.176671589
Croatia,Europe,Europe/Zagreb,-0.252318443,1.326581665,-0.451433479,-0.318196323,-0.248617386,-0.348438879
Cuba,America,America/Havana,-0.220955542,-0.497971857,-0.287643753,0.56071149,-0.336857152,-0.418168995
Cyprus,Asia,Asia/Nicosia,-0.266222662,2.140565981,-0.541253651,-0.311220864,-0.137358552,-0.133556275
Czech Republic,Europe,Europe/Prague,-0.283681344,0.402018348,-0.224241279,-0.129858935,-0.329184128,-0.40820755
Democratic Republic of Congo,Africa,Africa/Brazzaville,0.054724357,-0.058727491,-0.456717019,-0.373999994,-0.237107852,-0.144940784
Denmark,Europe,Europe/Copenhagen,-0.262772743,0.644677823,-0.308777911,-0.360049076,-0.363712732,-0.42813044
Djibouti,Africa,Africa/Djibouti,-0.147670897,0.644677823,-0.546537191,-0.429803665,-0.210252271,-0.164863675
Dominica,America,America/Dominica,-0.323825857,-0.666911998,-0.541253651,-0.429803665,-0.365630988,-0.432399631
Dominican Republic,America,America/Santo_Domingo,0.026811375,-1.244380117,-0.081585711,-0.248441735,-0.09323867,-0.126440957
Ecuador,America,America/Guayaquil,1.555230082,-1.244380117,2.332991863,3.581085167,-0.051037043,-0.167709802
Egypt,Africa,Africa/Cairo,-0.238309681,0.107141011,0.335813914,1.202453703,0.361387946,0.333208585
El Salvador,America,America/El_Salvador,-0.196492479,-1.124586199,-0.192540041,0.316570431,-0.058710066,-0.147786911
Equatorial Guinea,Africa,Africa/Malabo,-0.151120816,-0.190807965,-0.551820731,-0.436779124,-0.334938896,-0.418168995
Eritrea,Africa,Africa/Asmara,-0.255768362,-0.080228963,-0.55710427,-0.429803665,-0.187233202,-0.019711187
Estonia,Europe,Europe/Tallinn,-0.292462956,1.919407978,-0.509552414,-0.380975453,-0.327265873,-0.416745932
Swaziland,Africa,Africa/Mbabane,-0.130212215,0.183931984,-0.472567637,-0.325171782,-0.074056112,-0.152056102
Ethiopia,Africa,Africa/Addis_Ababa,-0.029014588,-0.221524354,-0.525403033,-0.401901829,-0.085565646,1.093124547
Fiji Islands,Australia,Pacific/Fiji,-0.306367176,0.644677823,-0.472567637,-0.297269947,-0.357957965,-0.37263096
Finland,Europe,Europe/Helsinki,-0.283681344,0.930340244,-0.361613307,-0.297269947,-0.310001571,-0.391130787
France,Europe,Europe/Paris,-0.276781506,0.908838771,-0.31934499,-0.248441735,-0.271636456,-0.35697726
Gabon,Africa,Africa/Libreville,0.019911537,-0.442682357,-0.372180386,-0.15776077,-0.256290409,-0.315708416
Gambia,Africa,Africa/Banjul,-0.248868524,-0.157019937,-0.541253651,-0.429803665,-0.363712732,-0.42813044
Georgia,Asia,Asia/Tbilisi,-0.280231425,1.151498246,-0.509552414,-0.380975453,-0.300410292,-0.391130787
Germany,Europe,Europe/Berlin,-0.283681344,0.380516876,-0.144988185,-0.2205399,-0.288900757,-0.384015469
Ghana,Africa,Africa/Accra,-0.088290471,-0.694556749,-0.382747465,-0.367024535,-0.275472967,-0.26590119
Greece,Europe,Europe/Athens,-0.213951161,4.20470734,0.124472332,1.753514951,0.062140047,-0.083749049
Grenada,America,America/Grenada,-0.315148788,-0.709914943,-0.525403033,-0.401901829,-0.359876221,-0.409630614
Guatemala,America,America/Guatemala,0.78757081,-1.210592088,0.351664532,0.804852549,1.404919082,1.057547957
Guinea,Africa,Africa/Conakry,-0.05692757,-0.387392856,-0.541253651,-0.436779124,-0.375222267,-0.220363155
Guinea-Bissau,Africa,Africa/Bissau,-0.224405461,-0.762132805,-0.525403033,-0.401901829,-0.359876221,-0.42813044
Guyana,America,America/Guyana,-0.294135644,-0.826637223,-0.493701796,-0.332147241,-0.371385755,-0.44378414
Haiti,America,America/Port-au-Prince,0.075737501,-0.408894329,-0.044600934,-0.074055264,-0.254372154,-0.25024749
Vatican City,Europe,Europe/Rome,-0.290685725,0.930340244,-0.467284098,-0.373999994,-0.321511105,-0.327092925
Honduras,America,America/Tegucigalpa,-0.323825857,-0.737559694,-0.535970112,-0.422828206,-0.365630988,-0.42813044
Hungary,Europe,Europe/Budapest,-0.259322824,1.305080193,-0.155555264,0.191012172,-0.12009425,-0.231747664
Iceland,Europe,Atlantic/Reykjavik,-0.280231425,0.140929039,-0.551820731,-0.436779124,-0.375222267,-0.421015122
India,Asia,Asia/Kolkata,-0.231409842,1.698249975,-0.345762688,0.02360116,0.250129112,1.406198539
Indonesia,Asia,Asia/Jakarta,0.815483791,4.643951706,1.31855227,2.283649823,1.665801866,1.423275302
Iran,Asia,Asia/Tehran,-0.123207834,2.929977185,1.572162168,2.220870693,0.075567838,0.865434371
Iraq,Asia,Asia/Baghdad,-0.280231425,4.468868287,-0.372180386,0.853680761,0.037202722,0.437092228
Ireland,Europe,Europe/Dublin,-0.280231425,0.491095877,-0.488418256,-0.380975453,-0.34644843,-0.416745932
Israel,Asia,Asia/Jerusalem,-0.280231425,3.194138133,-0.382747465,-0.032202511,-0.125849018,-0.153479166
Italy,Europe,Europe/Rome,-0.290685725,0.930340244,-0.467284098,-0.373999994,-0.321511105,-0.327092925
Jamaica,America,America/Jamaica,-0.179033798,-0.798992472,-0.250658976,-0.227515358,-0.327265873,-0.393976914
Japan,Asia,Asia/Tokyo,-0.280231425,-0.08944388,1.519326773,1.300110127,-0.260126921,-0.295785526
