Country,Continent,GDP,CPI,CPI Change (%),Gasoline Price,Minimum wage,Population: Labor force participation (%),Tax revenue (%),Total tax rate,Unemployment rate
Afghanistan,Asia,"$19,101,353,833 ",149.9,2.30%,$0.70 ,$0.43 ,48.90%,9.30%,71.40%,11.12%
Albania,Europe,"$15,278,077,447 ",119.05,1.40%,$1.36 ,$1.12 ,55.70%,18.60%,36.60%,12.33%
Algeria,Africa,"$169,988,236,398 ",151.36,2.00%,$0.28 ,$0.95 ,41.20%,37.20%,66.10%,11.70%
Andorra,Europe,"$3,154,057,987 ",,,$1.51 ,$6.63 ,,,,
Angola,Africa,"$94,635,415,870 ",261.73,17.10%,$0.97 ,$0.71 ,77.50%,9.20%,49.10%,6.89%
Antigua and Barbuda,North America,"$1,727,759,259 ",113.81,1.20%,$0.99 ,$3.04 ,,16.50%,43.00%,
Argentina,South America,"$449,663,446,954 ",232.75,53.50%,$1.10 ,$3.35 ,61.30%,10.10%,106.30%,9.79%
Armenia,Asia,"$13,672,802,158 ",129.18,1.40%,$0.77 ,$0.66 ,55.60%,20.90%,22.60%,16.99%
Australia,Oceania,"$1,392,680,589,329 ",119.8,1.60%,$0.93 ,$13.59 ,65.50%,23.00%,47.40%,5.27%
Austria,Europe,"$446,314,739,528 ",118.06,1.50%,$1.20 ,,60.70%,25.40%,51.40%,4.67%
Azerbaijan,Asia,"$39,207,000,000 ",156.32,2.60%,$0.56 ,$0.47 ,66.50%,13.00%,40.70%,5.51%
The Bahamas,North America,"$12,827,000,000 ",116.22,2.50%,$0.92 ,$5.25 ,74.60%,14.80%,33.80%,10.36%
Bahrain,Asia,"$38,574,069,149 ",117.59,2.10%,$0.43 ,,73.40%,4.20%,13.80%,0.71%
Bangladesh,Asia,"$302,571,254,131 ",179.68,5.60%,$1.12 ,$0.51 ,59.00%,8.80%,33.40%,4.19%
Barbados,North America,"$5,209,000,000 ",134.09,4.10%,$1.81 ,$3.13 ,65.20%,27.50%,35.60%,10.33%
Belarus,Europe,"$63,080,457,023 ",,5.60%,$0.60 ,$1.49 ,64.10%,14.70%,53.30%,4.59%
Belgium,Europe,"$529,606,710,418 ",117.11,1.40%,$1.43 ,$10.31 ,53.60%,24.00%,55.40%,5.59%
Belize,North America,"$1,879,613,600 ",105.68,-0.90%,$1.13 ,$1.65 ,65.10%,26.30%,31.10%,6.41%
Benin,Africa,"$14,390,709,095 ",110.71,-0.90%,$0.72 ,$0.39 ,70.90%,10.80%,48.90%,2.23%
Bhutan,Asia,"$2,446,674,101 ",167.18,2.70%,$0.98 ,$0.32 ,66.70%,16.00%,35.30%,2.34%
Bolivia,South America,"$40,895,322,865 ",148.32,1.80%,$0.71 ,$1.36 ,71.80%,17.00%,83.70%,3.50%
Bosnia and Herzegovina,Europe,"$20,047,848,435 ",104.9,0.60%,$1.05 ,$1.04 ,46.40%,20.40%,23.70%,18.42%
